Date,Raw_Composite,Sector_Neutral_Composite
2018-02-28,,
2018-03-31,,
2018-04-30,,
2018-05-31,,
2018-06-30,,
2018-07-31,,
2018-08-31,,
2018-09-30,,
2018-10-31,,
2018-11-30,,
2018-12-31,,
2019-01-31,,
2019-02-28,,
2019-03-31,0.013002628466415379,0.019887095546590714
2019-04-30,-0.006460079370606185,-0.013687199974306289
2019-05-31,0.002681215103503453,0.015634456964941874
2019-06-30,-0.008645278308383603,-0.017940660361913906
2019-07-31,0.00334700164005558,-0.00036218707879417597
2019-08-31,0.012093477444072747,0.016443230268923546
2019-09-30,-0.02159993566913211,-0.017429245336357816
2019-10-31,-0.005036213810916099,0.002760415878324877
2019-11-30,-0.005954902565256687,-0.009862901456466965
2019-12-31,-0.007629447980944951,-0.006009914269550071
2020-01-31,0.01447059882366732,0.006264088569968166
2020-02-29,0.008642016596877397,-0.001925794910017431
2020-03-31,-0.004931009447358331,-0.017110643575460827
2020-04-30,0.03705962488643648,0.037455748476349596
2020-05-31,0.009101275614737586,0.0030486170508272764
2020-06-30,0.007220492238868422,0.0034414638584181687
2020-07-31,-0.007739146482489634,-0.0007856511557895601
2020-08-31,-0.00021387561463573346,-0.006005505792396219
2020-09-30,-0.008950366645559977,-0.010927443192794942
2020-10-31,-0.003526359639996249,-0.004593436628128495
2020-11-30,0.0002871340733929806,-0.02859212694145609
2020-12-31,-0.01948348422384734,-0.021922557891972623
2021-01-31,-0.030948588659707187,-0.012487172621420838
2021-02-28,-0.009868880020190006,-0.02179849417563284
2021-03-31,-0.01732446866589383,-0.01231516812755774
2021-04-30,0.0190666203096,0.020319196491838908
2021-05-31,0.01365847535378315,0.009483219183662213
2021-06-30,0.013452734186477286,0.010973456573514733
2021-07-31,-0.014119854350622746,-0.015206118092672218
2021-08-31,-0.008697318460208221,-0.005839278324993466
2021-09-30,0.012299998731111612,0.01707475139979095
2021-10-31,0.003953221390001954,0.011252630441784033
2021-11-30,-0.01848375150477807,-0.02162849911637657
2021-12-31,-0.008804607621785544,0.010621535356996153
2022-01-31,0.021163274565884488,0.0066074586667832155
2022-02-28,0.004154024167085331,0.015136215096892856
2022-03-31,0.006885484638019877,0.019436097822456075
2022-04-30,-0.012691054013011599,-0.02130644596051249
2022-05-31,-0.001696916921915953,-0.007764482192463446
2022-06-30,0.0037419532588662263,0.004071507702638824
2022-07-31,-0.006531250185352569,-0.001890919516724307
2022-08-31,0.023068759668850625,0.014851022557543333
2022-09-30,-0.0028066310512138287,-0.011684529256048085
2022-10-31,0.0018689813832513114,0.003532554214578043
2022-11-30,-0.01893182176748591,-0.028264725420870704
2022-12-31,0.007769952329892048,-0.003943250115473251
2023-01-31,-0.0071388417985860965,0.013548884154902331
2023-02-28,-0.006946516938381872,-0.012697197640445176
2023-03-31,-0.008798805897505205,0.004431137908727138
2023-04-30,-0.004567251892943148,-0.009014356892439143
2023-05-31,0.0026402867406798945,-0.0054429178093466125
2023-06-30,0.011975001433864554,0.004434321498766325
2023-07-31,-0.005855021620647834,0.0020770302084023654
2023-08-31,-8.84018304197591e-05,0.0026513905579439515
2023-09-30,-0.00880892952811254,0.0025626640139659387
2023-10-31,0.0007862165879137864,0.011402021236634571
2023-11-30,0.0048219705621151965,-0.01388484618885949
2023-12-31,-0.002506182179688815,-0.010553662957245087
2024-01-31,0.009152910540935222,0.010104276597816755
2024-02-29,0.024853699969240944,0.02169719464557593
2024-03-31,-0.013475264129630744,-0.00704385126446868
2024-04-30,-0.004305487123047708,0.0045752739421160565
2024-05-31,0.015020594076668288,0.01968357630490667
2024-06-30,0.004083009888084541,0.0005849979948309211
2024-07-31,-0.021976888420644033,-0.00681468827450097
2024-08-31,0.0038258670096962683,-0.0015249219599415553
2024-09-30,0.01560576580015607,0.02089917452159186
2024-10-31,-0.0027083597227382447,0.004911222692576551
2024-11-30,-0.000461428702645178,0.009012891812192905
2024-12-31,0.006958355286075274,0.0073899742596220674
