Date,Raw_Composite,Sector_Neutral_Composite
2018-02-28,0.0,0.0
2018-03-31,0.0,0.0
2018-04-30,0.0,0.0
2018-05-31,0.0,0.0
2018-06-30,0.0,0.0
2018-07-31,0.0,0.0
2018-08-31,0.0,0.0
2018-09-30,0.0,0.0
2018-10-31,0.0,0.0
2018-11-30,0.0,0.0
2018-12-31,0.0,0.0
2019-01-31,0.0,0.0
2019-02-28,0.0,0.0
2019-03-31,0.026677416220474252,0.026859279814552696
2019-04-30,0.022988593929358307,0.01747937098913326
2019-05-31,-0.030210107849063018,-0.019022522232937877
2019-06-30,0.07035346573315736,0.05301122711451583
2019-07-31,0.02237763868501013,0.01593620062098041
2019-08-31,0.021051005634367084,0.021566728980984082
2019-09-30,-0.014730807394081055,-0.007201201074017535
2019-10-31,0.007249734294318726,0.014502649424140684
2019-11-30,0.019690141959054087,0.014154000966324805
2019-12-31,0.020612771773340123,0.020757516945208797
2020-01-31,0.017613303499109216,0.003244470680720232
2020-02-29,-0.07283933060200323,-0.08358754690060688
2020-03-31,-0.15618082032080108,-0.16502813067535912
2020-04-30,0.15946734070456456,0.15227813907446108
2020-05-31,0.07926216001804547,0.0612224723765339
2020-06-30,0.015583434516403186,0.007678342420825076
2020-07-31,0.06695947927840662,0.06267414008591521
2020-08-31,0.040749240345553266,0.033129579132463435
2020-09-30,-0.0228087720825422,-0.027794057610248155
2020-10-31,-0.003709647113016637,-0.007020105883600309
2020-11-30,0.12400729663963078,0.08780145169085007
2020-12-31,0.04382945090125684,0.029097722984794627
2021-01-31,0.013827689813194387,0.013972377470095039
2021-02-28,0.0424409658610182,0.028742367812983848
2021-03-31,0.00035101393342523105,0.016181172677313282
2021-04-30,0.04360850809211615,0.048078813208507876
2021-05-31,0.026185837938764035,0.02475108357757725
2021-06-30,0.031759446139889125,0.021298836565149557
2021-07-31,-0.026180850143940317,-0.02276215042078663
2021-08-31,0.03034731975097235,0.027746389408992406
2021-09-30,-0.0189362850999395,-0.0136627653656278
2021-10-31,0.06812631633432542,0.07012773132538982
2021-11-30,-0.04308700876292479,-0.044391111517772475
2021-12-31,0.011701241377877059,0.04066642276522044
2022-01-31,-0.04746018473954641,-0.044068625598156864
2022-02-28,0.007392375110205409,0.012708573458453888
2022-03-31,0.04314892404431847,0.053552343958990445
2022-04-30,-0.06309738273770732,-0.06696229706927515
2022-05-31,0.017810228591455878,0.011354893172796069
2022-06-30,-0.08853125717305102,-0.08576652124746036
2022-07-31,0.0787135895309646,0.07597342088681633
2022-08-31,0.0011855476386432376,-0.006109328970891237
2022-09-30,-0.08391993574649957,-0.08834940023269335
2022-10-31,0.11650715735077145,0.11593640532603364
2022-11-30,0.04361853961080976,0.030723144796782925
2022-12-31,-0.04100531607799143,-0.05121742527220813
2023-01-31,0.01957133385616932,0.03875467958965773
2023-02-28,-0.030279843131406498,-0.036686732338941236
2023-03-31,-0.017487229066116616,-0.0048261880259790136
2023-04-30,-0.006844859743147899,-0.0069169835817128825
2023-05-31,-0.016559823886351754,-0.03101126324428602
2023-06-30,0.07675231670042322,0.06771362500149486
2023-07-31,0.023078938912425767,0.030875302616146637
2023-08-31,-0.020388584661702243,-0.016211886981883937
2023-09-30,-0.0571503164174091,-0.03939965993823334
2023-10-31,-0.041668243101563376,-0.021202140389327308
2023-11-30,0.11608566462028092,0.08999563587138722
2023-12-31,0.0646828155676461,0.04712186532229572
2024-01-31,0.020146162394998297,0.021810774529413154
2024-02-29,0.0931102499468754,0.07838509721357377
2024-03-31,0.04022251208130051,0.04615749556935267
2024-04-30,-0.051884592587440465,-0.038159474121075794
2024-05-31,0.0462558947693035,0.04990917436293678
2024-06-30,0.010942918233287994,0.0061758352968050816
2024-07-31,0.03142935727664838,0.04045801279682955
2024-08-31,0.04968584138900813,0.044058528633323116
2024-09-30,0.03724941740991518,0.0375437811199709
2024-10-31,-0.0011768500648017773,0.006236302545350986
2024-11-30,0.07286673269841054,0.0765836753871387
2024-12-31,-0.06006016389379616,-0.0605431183432046
