strategy,frequency,gross_return,fixed_net_return,spread_net_return,volume_net_return,slippage_net_return,full_cost_net_return,full_cost_drag,number_of_periods
Value,monthly,0.8135095766241622,0.8012411587859456,0.789053134821087,0.8135048896509922,0.7995989282142799,0.7634172058045057,0.028038642727610877,83
Value,quarterly,0.7805012077371518,0.7730123003361964,0.7655524097985498,0.7804982288311042,0.7721769031959795,0.7500154292528094,0.01754135998043302,83
Momentum,monthly,1.173593023621975,1.0965983562406652,1.0222912246875797,1.1735725029159294,1.1102541240813486,0.8947941604298266,0.1382611412789239,83
Momentum,quarterly,1.0828191182137439,1.04175228226077,1.0014596665388478,1.0828092452844058,1.049626276876142,0.9311108392897864,0.07644151576806482,83
Combined,monthly,1.4295964775009025,1.343188131325153,1.2598078471483274,1.4295892395924423,1.3640103191397142,1.1213201016855665,0.13688850827059446,83
Combined,quarterly,1.515473602794351,1.4664345229073819,1.418309396003989,1.5154679214684061,1.4785671663748166,1.3364558511274445,0.07496971117111904,83
