Date,Ticker,PE,value_score,momentum_score,value_z,momentum_z,composite_50_50,composite_70_30,composite_30_70
2018-02-28,A,27.323294,0.036598808328161314,,-0.32371025339253473,0.0,,,
2018-03-31,A,27.323294,0.036598808328161314,,-0.32371025339253473,0.0,,,
2018-04-30,A,27.323294,0.036598808328161314,,-0.32371025339253473,0.0,,,
2018-05-31,A,27.323294,0.036598808328161314,,-0.05739982118351624,0.0,,,
2018-06-30,A,27.323294,0.036598808328161314,,-0.05739982118351623,0.0,,,
2018-07-31,A,27.323294,0.036598808328161314,,-0.05739982118351623,0.0,,,
2018-08-31,A,27.323294,0.036598808328161314,,-0.057363185585232075,0.0,,,
2018-09-30,A,27.323294,0.036598808328161314,,-0.057363185585232075,0.0,,,
2018-10-31,A,27.323294,0.036598808328161314,,-0.0584649361297894,0.0,,,
2018-11-30,A,27.323294,0.036598808328161314,,-0.05843462724481372,0.0,,,
2018-12-31,A,27.323294,0.036598808328161314,,-0.058434627244813735,0.0,,,
2019-01-31,A,27.323294,0.036598808328161314,,-0.058434627244813735,0.0,,,
2019-02-28,A,27.323294,0.036598808328161314,0.04528015283305198,-0.058434627244813735,0.18925290599462963,0.06540913937490794,0.015871632727019275,0.11494664602279661
2019-03-31,A,27.323294,0.036598808328161314,0.16892211494618703,-0.05843462724481372,0.29146381750430883,0.11651459512974756,0.04653490617992305,0.18649428407957208
2019-04-30,A,27.323294,0.036598808328161314,0.21263179867570292,-0.05840399815262605,0.4218067453915513,0.18170137361946262,0.08565922491062716,0.277743522328298
2019-05-31,A,27.323294,0.036598808328161314,0.20494077693645285,-0.05840399815262605,0.27648545013884734,0.10904072599311065,0.042062836334815966,0.1760186156514053
2019-06-30,A,27.323294,0.036598808328161314,0.09268157895873053,-0.058323082216388725,0.22614612311255355,0.08391152044808242,0.027017679382293963,0.14080536151387085
2019-07-31,A,27.323294,0.036598808328161314,0.2184352962406091,-0.05832308221638874,0.3552765616596726,0.14847673972164194,0.06575681094642966,0.23119666849685416
2019-08-31,A,27.323294,0.036598808328161314,0.06034665842854037,-0.05838007412330639,-0.029288341750857316,-0.04383420793708186,-0.04965255441157167,-0.03801586146259203
