Date,Value,Momentum,Composite_50_50,Composite_70_30,Composite_30_70
2018-02-28,1.0,1.0,1.0,1.0,1.0
2018-03-31,0.995608378587377,1.0050104407705451,1.0,1.0,1.0
2018-04-30,0.9943434924831573,1.0116984577610277,1.0,1.0,1.0
2018-05-31,0.9983067974650426,1.0431256756292202,1.0,1.0,1.0
2018-06-30,1.014042973163899,1.0418723251246413,1.0,1.0,1.0
2018-07-31,1.0353367602696568,1.0693850122748532,1.0,1.0,1.0
2018-08-31,1.0704323553507107,1.0978325217457776,1.0,1.0,1.0
2018-09-30,1.068177922592908,1.090894359730411,1.0,1.0,1.0
2018-10-31,0.9968093021198227,1.0128757467700185,1.0,1.0,1.0
2018-11-30,1.0144928031796787,1.0446826422640358,1.0,1.0,1.0
2018-12-31,0.8973588164641289,0.944170099436712,1.0,1.0,1.0
2019-01-31,0.9880159818703576,1.042523121559448,1.0,1.0,1.0
2019-02-28,1.037948793544884,1.0949637599899442,1.0,1.0,1.0
2019-03-31,1.010497432501302,1.1159210879714165,1.0266774162204741,1.0254428743448418,1.0266774162204741
2019-04-30,1.055483218358273,1.1411733299487654,1.0502792864384094,1.0496590468847327,1.0477411975418816
2019-05-31,0.9780798670988581,1.0981446304227738,1.0185502359234682,1.0186696331860594,1.0160888229662348
2019-06-30,1.0346496836452732,1.1826523462422163,1.090208775044009,1.0903365723178227,1.0867772602050743
2019-07-31,1.0359330269629996,1.204555070440663,1.1146050731031714,1.1149053721852105,1.111336292205281
2019-08-31,1.0003173749839573,1.2212598575369615,1.1380686307771604,1.1364104496513214,1.1340419231940808
2019-09-30,1.0437883806504398,1.2049991344784101,1.1213039609759365,1.1199006742899227,1.1165139624694365
2019-10-31,1.0623352636131587,1.217175995728726,1.1294331167561793,1.1295664745795304,1.1252391814185299
2019-11-30,1.1055380570950197,1.238697973267523,1.1520847561496836,1.1524462350636904,1.1387544838270605
2019-12-31,1.1381832853914742,1.2630084700779522,1.1758324162917413,1.1765190995880286,1.1630545267884804
2020-01-31,1.0972935090765967,1.2799071949496952,1.1965427095039787,1.1973345199839904,1.1828867792922877
2020-02-29,0.9918964368702458,1.1803643744875165,1.1093873395070017,1.1085005847910074,1.0973693220523988
2020-03-31,0.7409990878200879,0.9932643807847489,0.9361223147692872,0.929426235725314,0.9243102336356593
2020-04-30,0.8616672596826275,1.1344673802109326,1.0854032508797469,1.0781007502754067,1.0719179016828928
2020-05-31,0.8939282176613927,1.22826713672368,1.171434657035084,1.1668465841421773,1.154918031772499
2020-06-30,0.9241256358692509,1.2444205746568942,1.1896896323032355,1.1850771653997705,1.1728856707828326
2020-07-31,0.9621127688188121,1.3235846578886998,1.2693506305851792,1.2628587926025971,1.2499316219453087
2020-08-31,0.9887286649043698,1.3771290501053564,1.321075704513674,1.3189737719421653,1.3029522686824944
2020-09-30,0.948233635692368,1.3500086683708297,1.2902781187472108,1.2861634543042761,1.2737003749579983
2020-10-31,0.9610780374600953,1.350380529681557,1.2860898608806197,1.2814277273235388,1.2683953034687097
2020-11-30,1.1372163682094838,1.535592624399987,1.4468526172273322,1.4426934137915788,1.4181208459956398
2020-12-31,1.1795243220045777,1.664806839218507,1.5102673729754525,1.5059904937243098,1.4783400915473868
2021-01-31,1.2086887944007927,1.8188650096493493,1.531150881743945,1.5270099782708018,1.4987821197717135
2021-02-28,1.3471890368758164,1.924011600763939,1.596134404044108,1.5897447936417926,1.5640276004702287
2021-03-31,1.4009594806008483,1.9108855920541201,1.5966946694595467,1.5954290483695082,1.5660991070653125
2021-04-30,1.4690161923587257,1.9344213712378058,1.6663241418733123,1.6701292204103626,1.6370871397611846
2021-05-31,1.5141936953001047,1.9428744691514892,1.709958235805857,1.7164401781825307,1.6737123431288312
2021-06-30,1.5269359592825094,1.9827624776358985,1.7642655622973928,1.7572492527439696,1.7199147169866564
