,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations
Value,0.09222683730433912,0.2222586793192403,0.41495269200205,-0.34896330201754466,83.0
Momentum,0.14013050540293204,0.19192279447909058,0.7301399804190473,-0.22395593625537225,83.0
Composite_50_50,0.14159994264614828,0.1730042991320077,0.8184764387739467,-0.2176440445177653,83.0
Composite_70_30,0.14060216941665682,0.1743229424957879,0.8065614738005822,-0.22375391320235105,83.0
Composite_30_70,0.13702087996310497,0.17259281077198943,0.7938967987729328,-0.21859788289402704,83.0
