Date,Value,Momentum,Composite_50_50,Composite_70_30,Composite_30_70
2018-02-28,0.0,0.0,0.0,0.0,0.0
2018-03-31,-0.004391621412622948,0.0,0.0,0.0,0.0
2018-04-30,-0.005656507516842657,0.0,0.0,0.0,0.0
2018-05-31,-0.0016932025349574165,0.0,0.0,0.0,0.0
2018-06-30,0.0,-0.001201533558094825,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0,0.0
2018-09-30,-0.0021060954917268004,-0.006319872911337621,0.0,0.0,0.0
2018-10-31,-0.06877880032574923,-0.07738591569564779,0.0,0.0,0.0
2018-11-30,-0.0522588390489227,-0.048413467836808666,0.0,0.0,0.0
2018-12-31,-0.16168563853796902,-0.1399689107995371,0.0,0.0,0.0
2019-01-31,-0.07699353730143055,-0.05038054447355633,0.0,0.0,0.0
2019-02-28,-0.030346206972774126,-0.0026131142036778243,0.0,0.0,0.0
2019-03-31,-0.055991322151105805,0.0,0.0,0.0,0.0
2019-04-30,-0.013965513016971465,0.0,0.0,0.0,0.0
2019-05-31,-0.0862758751547591,-0.03770566521031782,-0.030210107849062973,-0.02952331406150055,-0.030210107849063084
2019-06-30,-0.03342824189363547,0.0,0.0,0.0,0.0
2019-07-31,-0.03222934005615696,0.0,0.0,0.0,0.0
2019-08-31,-0.06550155179472439,0.0,0.0,0.0,0.0
2019-09-30,-0.024890853277264258,-0.01331471181845445,-0.014730807394080947,-0.014528003826842939,-0.015456184084690627
2019-10-31,-0.007564318938116488,-0.003343974489157353,-0.007587867539310067,-0.006022449964175336,-0.007762271919152353
2019-11-30,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0
2020-01-31,-0.03592547601049467,0.0,0.0,0.0,0.0
2020-02-29,-0.12852661816318411,-0.07777346736932056,-0.0728393306020032,-0.07419307946969644,-0.07229555586972858
2020-03-31,-0.34896330201754466,-0.22395593625537225,-0.2176440445177653,-0.22375391320235105,-0.21859788289402704
2020-04-30,-0.24294507682366817,-0.11363309411232647,-0.09288382081263458,-0.09958267110696684,-0.0938119180567617
2020-05-31,-0.2146008212078696,-0.04034672078552137,-0.020983833062927726,-0.025463172850157867,-0.02364448399408292
2020-06-30,-0.18806957743066743,-0.027725932343239723,-0.005727398734963751,-0.010237201366568693,-0.008454831590423817
2020-07-31,-0.15469434390095016,0.0,0.0,0.0,0.0
2020-08-31,-0.13130980080743315,0.0,0.0,0.0,0.0
2020-09-30,-0.1668884547305346,-0.0196934206946342,-0.02331250636223059,-0.024875640695702805,-0.022450472229558094
2020-10-31,-0.15560345175027246,-0.019423394214037493,-0.026482845391463505,-0.028466104040371087,-0.026522049997063757
2020-11-30,-0.0008495267804410345,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.0,-0.006822208714649669,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0
2021-07-31,-0.03678245993070006,-0.03748213966100067,-0.026180850143940337,-0.024885208523432678,-0.026097272191589638
2021-08-31,-0.017296004120052166,-0.0056863799808376525,0.0,0.0,0.0
2021-09-30,-0.03881966690037919,-0.02866374331737198,-0.0189362850999395,-0.021645773851650785,-0.0189362850999395
2021-10-31,-0.015300674542021664,0.0,0.0,0.0,0.0
2021-11-30,-0.060617628292733094,-0.0332056485829042,-0.04308700876292482,-0.04580816012252065,-0.04337892621121897
2021-12-31,-0.03420867398343341,-0.036611183119583335,-0.0318899388748336,-0.034239861188448906,-0.032027877438351005
2022-01-31,-0.04843614642807037,-0.11286763258348143,-0.07783662122404755,-0.07809668450770546,-0.07881433156182227
2022-02-28,-0.05086041055182111,-0.1095065183009003,-0.07064336774300217,-0.06998773862012964,-0.07268868091667424
2022-03-31,-0.041277804057221146,-0.07749046662969594,-0.03054262900766158,-0.03255924884049288,-0.03338458256485344
2022-04-30,-0.1037047460529611,-0.13904849043914658,-0.09171285179305666,-0.08917780629105487,-0.09559792592256555
2022-05-31,-0.08691445642045859,-0.1259073832730142,-0.07544606326493808,-0.07120696395714832,-0.07950837506718222
2022-06-30,-0.17224392515253228,-0.20208672563508168,-0.15750308631842358,-0.15467333524867855,-0.16144688228493653
2022-07-31,-0.12137220458707931,-0.141672723357256,-0.09118713007378754,-0.08919068005066932,-0.09503230603544932
2022-08-31,-0.1412308194827192,-0.14651309205782237,-0.09010968912187789,-0.08904991217055214,-0.09490049840936687
2022-09-30,-0.2238069401595706,-0.21704254711266124,-0.16646762554713246,-0.16542642815396347,-0.17037724902810947
2022-10-31,-0.14247159376966112,-0.12712219920344636,-0.0693551380397901,-0.0675508505431005,-0.07372026063884751
2022-11-30,-0.09522492713376263,-0.08882298129245714,-0.02876176826478205,-0.025498326569447394,-0.0333476165167792
2022-12-31,-0.13565370615917138,-0.12824023576311427,-0.0685876989441141,-0.06504146145732737,-0.07298550303905238
2023-01-31,-0.04552691725037539,-0.10530205323413977,-0.05035871784240653,-0.045887406898595384,-0.05453729572231969
2023-02-28,-0.08347394806756014,-0.12602769634489597,-0.07911370689724617,-0.07405367729415968,-0.08168208899170448
2023-03-31,-0.1508007057684564,-0.14348924186534107,-0.09521745644858104,-0.09396360959386396,-0.09756771946854426
2023-04-30,-0.15141237077888403,-0.15536264162742586,-0.10141056605723897,-0.09964079196481246,-0.10579452184655602
2023-05-31,-0.18835093721846208,-0.16300013275575576,-0.11629104882946772,-0.11696641562459198,-0.12059015814405172
2023-06-30,-0.11372922041276345,-0.10871168777722762,-0.04846433953822826,-0.048464455989023714,-0.05309341545245494
2023-07-31,-0.04844431181179076,-0.08072911221175127,-0.026503906157436363,-0.027163350719647372,-0.0334910944364063
2023-08-31,-0.07814983076788995,-0.0996747071816072,-0.04635211368458192,-0.049868832010261155,-0.05319684308377881
2023-09-30,-0.11362432549739154,-0.15901720734909686,-0.10085339213830136,-0.10265493364764355,-0.1070959326713653
2023-10-31,-0.1491754247317839,-0.20375694750518003,-0.13831925157862868,-0.13966696620414865,-0.14430167641518965
2023-11-30,-0.06017111301370881,-0.10956717375891578,-0.03829046920763257,-0.03741264469706662,-0.04496736780738664
2023-12-31,0.0,-0.04810059244517895,0.0,0.0,0.0
2024-01-31,-0.009257451677182282,-0.03500346183772296,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0,0.0
2024-04-30,-0.054842382316150906,-0.05986614191477835,-0.05188459258744038,-0.05058531180650061,-0.05188459258744049
2024-05-31,-0.013055587487473264,-0.03027960165646615,-0.008028666073009783,-0.0052290766514018205,-0.009776107937315981
2024-06-30,-0.02250118394200673,-0.030394833089367745,0.0,-0.004141053905327818,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0,0.0
2024-10-31,-0.0073368199776929766,0.0,-0.0011768500648017266,-0.0005881100198154021,-0.0016378260911220632
2024-11-30,0.0,0.0,0.0,0.0,0.0
2024-12-31,-0.078008908944735,-0.06532410841304315,-0.0600601638937962,-0.05998701828496711,-0.0600601638937962
