Strategy,Source,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown
Value,Task 1,0.0922268373043391,0.2222586793192403,0.41495269200205,-0.3489633020175446
Momentum,Task 1,0.140130505402932,0.1919227944790905,0.7301399804190473,-0.2239559362553722
Composite_50_50,Task 1,0.1415999426461482,0.1730042991320077,0.8184764387739467,-0.2176440445177653
Composite_70_30,Task 1,0.1406021694166568,0.1743229424957879,0.8065614738005822,-0.223753913202351
Composite_30_70,Task 1,0.1370208799631049,0.1725928107719894,0.7938967987729328,-0.218597882894027
Raw Composite,Task 2,0.1415999426461482,0.1730042991320077,0.8184764387739467,-0.2176440445177653
Sector-Neutral Composite,Task 2,0.12371927368205,0.1635745244628883,0.756348056571116,-0.2368088009050927
