RegimeType,Regime,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations
VolRegime,High Vol,0.204853719288435,0.2185817622392859,0.9371949296674507,-0.15618082032080105,36.0
VolRegime,Low Vol,0.09540550836736328,0.1286238090529616,0.7417406549364395,-0.15750308631842336,47.0
TrendRegime,Bear,-0.06508251072784166,0.20617060712634772,-0.3156730808284281,-0.15879534333087297,28.0
TrendRegime,Bull,0.26378389541575276,0.14741134308787074,1.7894409608527428,-0.07783662122404744,55.0
