,ImpliedAUM
count,25759.0
mean,50017836913.23698
std,187651643482.51727
min,215306.00000000003
1%,8313348.913101196
5%,243114176.55238733
25%,8861348292.183609
50%,18289724178.89771
75%,38474385203.92897
95%,123634986372.78752
99%,776730969371.0663
max,5378998401019.932
