Date,Return,Drawdown
2022-09-30,-0.42584128944048794,-0.7505624192215183
2020-03-31,-0.40952237998680546,-0.524570903886532
2022-06-30,-0.3886864438403873,-0.637304967170246
2022-04-30,-0.30019992635000414,-0.4342532663262526
2024-12-31,-0.2966756105430377,-0.2966756105430377
2022-01-31,-0.24470636955615102,-0.244706369556151
2023-09-30,-0.22868489403412212,-0.5993034645646855
2024-04-30,-0.22453431922391198,-0.321935569795452
2022-12-31,-0.2194016428883021,-0.6352588155123988
2023-10-31,-0.1971352756711241,-0.6782948865381906
