MomentumWindow,SkipMonths,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations,RebalanceMonths,TopFraction,WinsorRule,MissingRule
6,1,0.2959825833488521,0.8044782055728206,0.3679187096661005,-0.7949211634516995,83.0,,,,
6,2,0.29457970784209064,0.7955050428271484,0.3703052677016134,-0.7925286249125587,83.0,,,,
9,1,0.32944076599176175,0.7242818164189561,0.4548516316764729,-0.7787887979822063,83.0,,,,
9,2,0.33062737873358516,0.7158330830552065,0.4618777569240768,-0.776750010564981,83.0,,,,
12,1,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0,,,,
12,2,0.27270942659382635,0.656005841406347,0.41571188757891425,-0.7485684146413634,83.0,,,,
18,1,0.22256532444056276,0.563802734090495,0.3947574408265271,-0.7122496192303682,83.0,,,,
18,2,0.23011290092547187,0.5555211578987941,0.41422886897026934,-0.7026595772216909,83.0,,,,
12,1,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0,1.0,,,
12,1,0.2662665734269265,0.6016731989118373,0.44254351682688514,-0.7177992132127439,83.0,3.0,,,
12,1,0.189348357759491,0.9734282897327027,0.1945170073200614,-0.9208225124732414,83.0,,0.1,,
12,1,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0,,0.2,,
12,1,0.26476989504425874,0.49026072653937,0.5400593617057691,-0.5902488637223047,83.0,,0.3,,
12,1,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0,,,none,
12,1,0.26901151357754105,0.5352527262571202,0.5025878437998195,-0.6180625391556851,83.0,,,1_99,
12,1,0.26547255053785546,0.5241840022886689,0.5064491655196668,-0.6076138092960368,83.0,,,2.5_97.5,
12,1,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0,,,,both_required
12,1,0.14161873679735493,0.7873636477472555,0.1798644593289817,-0.8262670907112715,83.0,,,,zero_fill
