Period,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations
2019-2020,0.5128495823837145,0.5574762129667639,0.9199488165682327,-0.524570903886532,24.0
2021-2022,-0.10594016214428559,0.7952042080131048,-0.13322384499069417,-0.7505624192215182,24.0
2023-2024,0.7513341392537278,0.7682561412508174,0.9779734894542613,-0.47067106940142667,24.0
