,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations
Equal Weight,0.28321143653982905,0.6617042340707344,0.42800305930875227,-0.7505624192215183,83.0
Liquidity Weighted,0.3808011536292797,0.6359004532376006,0.5988376823612602,-0.7670344909281526,83.0
