Date,Ticker,Return,Industry_x,E,S,G,ESG,ESG_z,E_z,S_z,G_z,MarketCap,PE,PB,Beta,Sector,Industry_y,Size,Value_PB,Value_PE,ESG_sector,ESG_minus_sector,ESG_sector_z,ESG_pred,ESG_ortho,DollarVolume
2018-02-28,AACG,0.0680000311533759,Diversified Consumer Services,203,200,205,608,-1.7215689183991745,-1.4558380846485892,-1.6419523560801468,-1.5320520570030465,46232832.0,,0.4559594,1.28,Consumer Defensive,Education & Training Services,17.649200753010934,2.1931777259115615,,-443.6486486486488,-443.6486486486488,-2.1261475784034163,,,1035500.0
2018-02-28,AAL,0.0006320378335022,Airlines,270,211,265,746,-1.092980702706985,-0.9910738785903564,-1.4506019297863704,-0.2846333249712485,8786501632.0,42.85484,-2.1552563,1.365,Industrials,Airlines,22.896482475338644,-0.4639819403381398,0.0233345871784843,-243.69047619047615,-243.69047619047615,-1.167865421005006,0.0249637855674551,-1.1179444882744405,6619864290.808868
2018-02-28,AAME,-0.0800000027009029,Insurance,220,221,300,741,-1.1157556380581517,-1.3379128383353065,-1.2766469967920284,0.4430276020473001,35083232.0,7.478261,0.3205965,0.739,Financial Services,Insurance - Life,17.37323385349344,3.1191856430123224,0.1337209279002163,-197.84090909090912,-197.84090909090912,-0.9481353567829648,-0.8224323247937342,-0.2933233132644173,336375.0
2018-02-28,AAOI,-0.1376967943351685,Communications,311,256,218,785,-0.9153362069678882,-0.7066659315994975,-0.667804731311831,-1.2617779983961566,14783124480.0,,13.154587,3.671,Technology,Communication Equipment,23.4167521293129,0.0760191102920981,,-225.46875,-225.46875,-1.0805393824106837,,,827344232.409668
2018-02-28,AAON,0.00961542351648,Building,500,300,223,1023,0.1687507157476268,0.6043853362364128,0.0975969738632741,-1.1578264373935068,11096580096.0,95.40141,11.869798,1.396,Industrials,Building Products & Equipment,23.12990279833285,0.0842474320119011,0.0104820253704845,33.30952380952385,33.30952380952385,0.1596329969698101,0.0376496368664112,0.1311010788812155,148129798.44760895
2018-02-28,AAPL,0.068185364681192,Technology,355,281,255,891,-0.432507577523163,-0.4014476470239417,-0.2329173988259758,-0.4925364469765481,4561672077312.0,37.646667,42.7803,1.086,Technology,Consumer Electronics,29.148710355863887,0.0233752451478834,0.0265627764603968,-119.46875,-119.46875,-0.5725435979149054,0.8335877446684763,-1.2660953221916391,110450117110.36377
2018-02-28,AATC,0.0,Electrical Equipment,410,286,240,936,-0.2275331593626665,-0.0199247913044969,-0.1459399323288047,-0.8043911299844976,30279820.0,6.179775,3.0933633,0.275,Technology,Scientific & Technical Instruments,17.22599204199802,0.3232727303643901,0.161818189173554,-74.46875,-74.46875,-0.3568850101572638,-0.749429178933037,0.5218960195703705,974019.970035553
2018-02-28,ABCB,-0.0074696437278383,Banking,290,300,250,840,-0.6648119181050591,-0.8523382946923764,0.0975969738632741,-0.596488007979198,5752836096.0,13.441823,1.4051149,0.928,Financial Services,Banks - Regional,22.472958804242676,0.7116855710518762,0.0743946710204412,-98.84090909090912,-98.84090909090912,-0.4736864637161533,-0.069921156174197,-0.5948907619308621,260301191.2914276
2018-02-28,ABEO,-0.0918032786885245,Biotechnology,205,306,310,821,-0.751356672439491,-1.4419645262587912,0.2019699336598794,0.6509307240525997,316323072.0,5.8421054,2.1773245,1.348,Healthcare,Biotechnology,19.57227462902379,0.4592792668249496,0.1711711671617564,-106.96296296296292,-106.96296296296292,-0.5126107007770113,-0.4444442871562497,-0.3069123852832413,256177125.0
2018-02-28,ABUS,0.0686274335641941,Biotechnology,203,204,338,745,-1.0975356897772184,-1.4558380846485892,-1.5723703828824098,1.2330594656674383,841510720.0,5.1325307,3.22483,0.626,Healthcare,Biotechnology,20.55070931067026,0.3100938654130605,0.1948356587521239,-182.96296296296293,-182.96296296296293,-0.8768340934343616,-0.3104970641460989,-0.7870386256311195,18383459.656238556
2018-02-28,ABVC,0.0,Biotechnology,220,212,205,637,-1.5894742933624102,-1.3379128383353065,-1.433206436486936,-1.5320520570030465,34060576.0,,3.0465114,0.566,Healthcare,Biotechnology,17.34365114438876,0.3282442993648407,,-290.96296296296293,-290.96296296296293,-1.3944147040527015,,,0.0
2018-02-28,ACAD,-0.1668338280366094,Biotechnology,230,230,305,765,-1.0064359483725531,-1.2685450463863162,-1.1200875570971205,0.5469791630499499,3719243008.0,9.828053,2.9773817,0.83,Healthcare,Biotechnology,22.036785992050945,0.3358655694028078,0.1017495530396508,-162.96296296296293,-162.96296296296293,-0.7809858322087432,-0.1150914187549725,-0.8913445296175808,1331500472.2072601
2018-02-28,ACET,0.2022194724267676,Biotechnology,215,211,305,731,-1.161305508760484,-1.3725967343098011,-1.4506019297863704,0.5469791630499499,71140080.0,,0.5214472,,Healthcare,Biotechnology,18.080161449027106,1.9177397059568064,,-196.96296296296293,-196.96296296296293,-0.9439278762922946,,,48651436.232299805
2018-02-28,ACGL,-0.0296898915345265,Insurance,500,300,300,1100,0.5194847201555876,0.6043853362364128,0.0975969738632741,0.4430276020473001,31806683136.0,7.0026927,1.369895,0.306,Financial Services,Insurance - Diversified,24.182942266161135,0.7299829548980031,0.1428022109266625,161.15909090909088,161.15909090909088,0.772340932216887,0.1548788725411434,0.3646058476144441,1023693398.0117798
2018-02-28,ACHC,0.117957641639657,Health Care,330,231,220,781,-0.9335561552488212,-0.5748671268964166,-1.1026920637976865,-1.2201973739950966,2299175680.0,,1.1586949,0.693,Healthcare,Medical Care Facilities,21.555816495640887,0.863039959872094,,-146.96296296296293,-146.96296296296293,-0.7043072232282483,,,858165118.107605
2018-02-28,ACHV,-0.189873417721519,Biotechnology,215,222,305,742,-1.1112006509879182,-1.3725967343098011,-1.2592515034925942,0.5469791630499499,515861760.0,,25.0,2.264,Healthcare,Biotechnology,20.061349380575606,0.04,,-185.96296296296293,-185.96296296296293,-0.8912113326182044,,,23025340.0
2018-02-28,ACIU,-0.2088323378405628,Biotechnology,250,296,305,851,-0.6147070603324933,-1.1298094624883364,0.0280150006655373,0.5469791630499499,231534896.0,,5.6017704,1.558,Healthcare,Biotechnology,19.26024115879154,0.1785149923317099,,-76.96296296296293,-76.96296296296293,-0.3688383089385835,,,13319919.657707214
2018-02-28,ACIW,0.0089590051061447,Technology,500,327,300,1127,0.6424693710518855,0.6043853362364128,0.5672752929479978,0.4430276020473001,4348065280.0,21.60101,2.889084,1.007,Technology,Software - Infrastructure,22.192996819892116,0.346130469034476,0.0462941316169938,116.53125,116.53125,0.5584658845473928,-0.0946909896695369,0.7371603607214224,264480558.0259323
2018-02-28,ACLS,-0.0559845126234447,Semiconductors,515,306,260,1081,0.4329399658211557,0.7084370241598976,0.2019699336598794,-0.3885848859738983,4677852672.0,47.268635,4.4778028,1.918,Technology,Semiconductor Equipment & Materials,22.26610501081169,0.2233238140813168,0.0211556775438935,70.53125,70.53125,0.3380148837284703,-0.0809237509554949,0.5138637167766507,301564055.5583954
2018-02-28,ACMR,0.2662943784893692,Semiconductors,410,232,325,967,-0.0863285601854355,-0.0199247913044969,-1.085296570498252,0.962785407060549,5380871680.0,59.435192,3.2597907,1.978,Technology,Semiconductor Equipment & Materials,22.406116220300746,0.306768161526444,0.0168250487017859,-43.46875,-43.46875,-0.2083202052575551,-0.0652044144181518,-0.0211241457672837,5061761.892127991
2018-02-28,ACNB,-0.0677569252369663,Banking,220,219,215,654,-1.5120395131684448,-1.3379128383353065,-1.311437983390897,-1.3241489349977469,563194240.0,11.141415,1.3400234,0.883,Financial Services,Banks - Regional,20.14913513548308,0.746255625088338,0.089755206138538,-284.8409090909091,-284.8409090909091,-1.3650752931144052,-0.3776459723114853,-1.1343935408569594,2873750.0
2018-02-28,ACRS,-0.0985533554460449,Pharmaceuticals,230,207,220,657,-1.498374551957745,-1.2685450463863162,-1.520183902984107,-1.2201973739950966,617313472.0,,4.2954326,0.797,Healthcare,Biotechnology,20.24088751119856,0.232805422205903,,-270.96296296296293,-270.96296296296293,-1.298566442827083,,,147321417.58937836
2018-02-28,ACTG,-0.0547945321803019,Financial Services,200,200,275,675,-1.4163847846935465,-1.476648422233286,-1.6419523560801468,-0.0767302029659489,450105344.0,,0.85160816,0.428,Industrials,Business Equipment & Supplies,19.924992211109807,1.1742489644533234,,-314.69047619047615,-314.69047619047615,-1.5081267483559515,,,18471555.48262596
2018-02-28,ADBE,0.0469063407771364,Technology,200,221,200,621,-1.662354086486142,-1.476648422233286,-1.2766469967920284,-1.636003618005696,101607800832.0,14.649184,8.9268465,1.404,Technology,Software - Application,25.34438614898589,0.1120216416850004,0.0682631879017971,-389.46875,-389.46875,-1.866495124460755,0.3287122079688864,-1.9910662944550288,11048145992.189026
2018-02-28,ADI,-0.0188289311496371,Semiconductors,350,318,300,968,-0.0817735731152023,-0.4361315429984367,0.4107158532530899,0.4430276020473001,199033503744.0,60.716194,5.89869,1.183,Technology,Semiconductors,26.016739008022473,0.1695291666454755,0.0164700705712877,-42.46875,-42.46875,-0.2035277921962742,0.4156271332036545,-0.4974007063188568,6292539431.89621
2018-02-28,ADMA,0.0080645083760868,Biotechnology,240,264,320,824,-0.7376917112287912,-1.1991772544373265,-0.5286407849163574,0.8588338460578993,1853022848.0,11.757353,4.758929,0.732,Healthcare,Biotechnology,21.34008411444885,0.2101313131589061,0.0850531577983581,-103.96296296296292,-103.96296296296292,-0.4982334615931685,-0.2027961624544878,-0.5348955487743033,7895700.060725212
2018-02-28,ADP,-0.0672166916868954,Technology,500,300,200,1000,0.0639860131322619,0.6043853362364128,0.0975969738632741,-1.636003618005696,93076127744.0,21.740896,14.68961,0.845,Technology,Software - Application,25.25668357313998,0.0680753267105117,0.0459962643673931,-10.46875,-10.46875,-0.0501705742352846,0.318650535143961,-0.2546645220116991,4794049855.49469
2018-02-28,ADSK,0.0160006783443513,Technology,555,304,310,1169,0.8337788280016822,0.9859081919558575,0.1671789470610109,0.6509307240525997,48941355008.0,33.837955,15.336111,1.295,Technology,Software - Application,24.61388858170475,0.0652055791719295,0.0295526133302086,158.53125,158.53125,0.7597472331211916,0.2339916484127719,0.5997871795889103,5031505031.524658
2018-02-28,ADUS,-0.0418410059649737,Health Care,210,215,218,643,-1.5621443709410106,-1.4072806302842962,-1.3810199565886336,-1.2617779983961566,1730784768.0,17.108856,1.5190184,0.898,Healthcare,Medical Care Facilities,21.27184076572162,0.6583198728863324,0.0584492615987883,-284.96296296296293,-284.96296296296293,-1.365660225685016,-0.2265611944897938,-1.3355831764512167,19412774.173736572
2018-02-28,AEHR,-0.1192307515962582,Semiconductors,290,262,300,852,-0.6101520732622601,-0.8523382946923764,-0.5634317715152258,0.4430276020473001,3171903488.0,,22.489964,3.183,Technology,Semiconductor Equipment & Materials,21.877597714026617,0.0444642774883943,,-158.46875,-158.46875,-0.7594477073048616,,,11239539.58773613
2018-02-28,CLX,-0.0889971452857397,Consumer products,560,350,345,1255,1.2255077160417422,1.0205920879303525,0.9673716388349846,1.3785916510711482,11263823872.0,15.146341,-168.1408,0.545,Consumer Defensive,Household & Personal Products,23.144861999876213,-0.0059473964677222,0.0660225463034273,203.35135135135124,203.35135135135124,0.974543672245342,0.0424729054664325,1.1830348105753097,2742849236.2609863
2018-02-28,DIS,-0.0507038767067665,Media,510,316,321,1147,0.7335691124565505,0.6737531281854027,0.3759248666542215,0.8796241582584292,173104136192.0,15.949599,1.6001573,1.394,Communication Services,Entertainment,25.877159193655345,0.6249385607277484,0.0626975010468915,209.79166666666663,209.79166666666663,1.0054083234812272,0.3820374196988916,0.3515316927576589,17552497641.246033
2018-02-28,GM,-0.0721524065848127,Automobiles,510,303,255,1068,0.3737251339081233,0.6737531281854027,0.1497834537615767,-0.4925364469765481,74211557376.0,30.03832,1.1848072,1.3,Consumer Cyclical,Auto Manufacturers,25.03018573477482,0.844019178816604,0.0332908098721899,140.12676056338023,140.12676056338023,0.6715453175589282,0.2631333061108227,0.1105918277973005,11793741724.567032
2018-02-28,GWW,-0.0252503060127766,Trading Companies and Distributors,255,385,240,880,-0.4826124352957288,-1.0951255665138413,1.576213904315182,-0.8043911299844976,61403963392.0,35.02747,15.629033,1.052,Industrials,Industrial Distribution,24.840740220374528,0.0639834850946952,0.0285490216678509,-109.69047619047616,-109.69047619047616,-0.5256820707933622,0.2639593327852521,-0.7465717680809809,7803070627.96936
2018-02-28,LVS,-0.0607587975038292,Hotels Restaurants and Leisure,547,318,313,1178,0.8747737116337815,0.9304139583966656,0.4107158532530899,0.7133016606541895,33529446400.0,18.671585,28.002213,0.811,Consumer Cyclical,Resorts & Casinos,24.235689886700712,0.0357114632332808,0.0535573171747336,250.12676056338023,250.12676056338023,1.19871075429983,0.1850199260441676,0.6897537855896139,7685223939.198303
2018-02-28,LYV,-0.0057701315647226,Media,492,310,250,1052,0.3008453407843912,0.5488911026772207,0.2715519068576162,-0.596488007979198,37254991872.0,,-265.04968,1.124,Communication Services,Entertainment,24.34105178278002,-0.0037728775978903,,114.79166666666664,114.79166666666664,0.5501290826595394,,,1250135666.1003113
2018-02-28,MHK,-0.1465167332010536,Consumer products,570,298,303,1171,0.8428888021421488,1.0899598798793424,0.0628059872644057,0.50539853864889,6296459776.0,15.464073,0.75357455,1.21,Consumer Cyclical,"Furnishings, Fixtures & Appliances",22.563253372078805,1.3270087213003678,0.0646660165145366,243.12676056338023,243.12676056338023,1.1651638628708634,-0.0783426695274909,0.9212314716696396,3327019615.1000977
2018-03-31,AACG,-0.0262173193762658,Diversified Consumer Services,203,200,205,608,-1.7215689183991745,-1.4558380846485892,-1.6419523560801468,-1.5320520570030465,46232832.0,,0.4559594,1.28,Consumer Defensive,Education & Training Services,17.649200753010934,2.1931777259115615,,-443.6486486486488,-443.6486486486488,-2.1261475784034163,,,2181390.0623321533
2018-03-31,AAL,-0.0422120658240594,Airlines,270,211,265,746,-1.092980702706985,-0.9910738785903564,-1.4506019297863704,-0.2846333249712485,8786501632.0,42.85484,-2.1552563,1.365,Industrials,Airlines,22.896482475338644,-0.4639819403381398,0.0233345871784843,-243.69047619047615,-243.69047619047615,-1.167865421005006,0.0249637855674551,-1.1179444882744405,4990739600.0
2018-03-31,AAME,-0.043478225768038,Insurance,220,221,300,741,-1.1157556380581517,-1.3379128383353065,-1.2766469967920284,0.4430276020473001,35083232.0,7.478261,0.3205965,0.739,Financial Services,Insurance - Life,17.37323385349344,3.1191856430123224,0.1337209279002163,-197.84090909090912,-197.84090909090912,-0.9481353567829648,-0.8224323247937342,-0.2933233132644173,124890.00172615051
2018-03-31,AAOI,-0.1027569211555486,Communications,311,256,218,785,-0.9153362069678882,-0.7066659315994975,-0.667804731311831,-1.2617779983961566,14783124480.0,,13.154587,3.671,Technology,Communication Equipment,23.4167521293129,0.0760191102920981,,-225.46875,-225.46875,-1.0805393824106837,,,974991622.6531982
2018-03-31,AAON,0.0612244430649193,Building,500,300,223,1023,0.1687507157476268,0.6043853362364128,0.0975969738632741,-1.1578264373935068,11096580096.0,95.40141,11.869798,1.396,Industrials,Building Products & Equipment,23.12990279833285,0.0842474320119011,0.0104820253704845,33.30952380952385,33.30952380952385,0.1596329969698101,0.0376496368664112,0.1311010788812155,132516825.0
2018-03-31,AAPL,-0.0580508086006807,Technology,355,281,255,891,-0.432507577523163,-0.4014476470239417,-0.2329173988259758,-0.4925364469765481,4561672077312.0,37.646667,42.7803,1.086,Technology,Consumer Electronics,29.148710355863887,0.0233752451478834,0.0265627764603968,-119.46875,-119.46875,-0.5725435979149054,0.8335877446684763,-1.2660953221916391,165276528185.2661
2018-03-31,AATC,0.370967171055838,Electrical Equipment,410,286,240,936,-0.2275331593626665,-0.0199247913044969,-0.1459399323288047,-0.8043911299844976,30279820.0,6.179775,3.0933633,0.275,Technology,Scientific & Technical Instruments,17.22599204199802,0.3232727303643901,0.161818189173554,-74.46875,-74.46875,-0.3568850101572638,-0.749429178933037,0.5218960195703705,670839.9793624878
2018-03-31,ABCB,-0.0028040824328057,Banking,290,300,250,840,-0.6648119181050591,-0.8523382946923764,0.0975969738632741,-0.596488007979198,5752836096.0,13.441823,1.4051149,0.928,Financial Services,Banks - Regional,22.472958804242676,0.7116855710518762,0.0743946710204412,-98.84090909090912,-98.84090909090912,-0.4736864637161533,-0.069921156174197,-0.5948907619308621,189123650.4295349
2018-03-31,ABEO,0.036101083032491,Biotechnology,205,306,310,821,-0.751356672439491,-1.4419645262587912,0.2019699336598794,0.6509307240525997,316323072.0,5.8421054,2.1773245,1.348,Healthcare,Biotechnology,19.57227462902379,0.4592792668249496,0.1711711671617564,-106.96296296296292,-106.96296296296292,-0.5126107007770113,-0.4444442871562497,-0.3069123852832413,415109430.0
2018-03-31,ABUS,-0.0825687752319047,Biotechnology,203,204,338,745,-1.0975356897772184,-1.4558380846485892,-1.5723703828824098,1.2330594656674383,841510720.0,5.1325307,3.22483,0.626,Healthcare,Biotechnology,20.55070931067026,0.3100938654130605,0.1948356587521239,-182.96296296296293,-182.96296296296293,-0.8768340934343616,-0.3104970641460989,-0.7870386256311195,18575779.349899292
2018-03-31,ABVC,0.0,Biotechnology,220,212,205,637,-1.5894742933624102,-1.3379128383353065,-1.433206436486936,-1.5320520570030465,34060576.0,,3.0465114,0.566,Healthcare,Biotechnology,17.34365114438876,0.3282442993648407,,-290.96296296296293,-290.96296296296293,-1.3944147040527015,,,0.0
2018-03-31,ACAD,-0.0983146370561253,Biotechnology,230,230,305,765,-1.0064359483725531,-1.2685450463863162,-1.1200875570971205,0.5469791630499499,3719243008.0,9.828053,2.9773817,0.83,Healthcare,Biotechnology,22.036785992050945,0.3358655694028078,0.1017495530396508,-162.96296296296293,-162.96296296296293,-0.7809858322087432,-0.1150914187549725,-0.8913445296175808,955265838.9245987
2018-03-31,ACET,-0.5087179666037087,Biotechnology,215,211,305,731,-1.161305508760484,-1.3725967343098011,-1.4506019297863704,0.5469791630499499,71140080.0,,0.5214472,,Healthcare,Biotechnology,18.080161449027106,1.9177397059568064,,-196.96296296296293,-196.96296296296293,-0.9439278762922946,,,35902776.0
2018-03-31,ACGL,-0.0300317222046772,Insurance,500,300,300,1100,0.5194847201555876,0.6043853362364128,0.0975969738632741,0.4430276020473001,31806683136.0,7.0026927,1.369895,0.306,Financial Services,Insurance - Diversified,24.182942266161135,0.7299829548980031,0.1428022109266625,161.15909090909088,161.15909090909088,0.772340932216887,0.1548788725411434,0.3646058476144441,939791313.8763428
2018-03-31,ACHC,0.0283465058873497,Health Care,330,231,220,781,-0.9335561552488212,-0.5748671268964166,-1.1026920637976865,-1.2201973739950966,2299175680.0,,1.1586949,0.693,Healthcare,Medical Care Facilities,21.555816495640887,0.863039959872094,,-146.96296296296293,-146.96296296296293,-0.7043072232282483,,,1066464677.2888184
2018-03-31,ACHV,-0.0078125,Biotechnology,215,222,305,742,-1.1112006509879182,-1.3725967343098011,-1.2592515034925942,0.5469791630499499,515861760.0,,25.0,2.264,Healthcare,Biotechnology,20.061349380575606,0.04,,-185.96296296296293,-185.96296296296293,-0.8912113326182044,,,10836992.0
