Date,Raw Composite,Sector-Neutral Composite
2018-02-28,0.0,0.0
2018-03-31,0.0,0.0
2018-04-30,0.0,0.0
2018-05-31,0.0,0.0
2018-06-30,0.0,0.0
2018-07-31,0.0,0.0
2018-08-31,0.0,0.0
2018-09-30,0.0,0.0
2018-10-31,0.0,0.0
2018-11-30,0.0,0.0
2018-12-31,0.0,0.0
2019-01-31,0.0,0.0
2019-02-28,0.0,0.0
2019-03-31,0.026677416220474252,0.02671612213844638
2019-04-30,0.022988593929358307,0.01717963197487962
2019-05-31,-0.030210107849063018,-0.01966481829511009
2019-06-30,0.07035346573315736,0.05198903427281347
2019-07-31,0.02237763868501013,0.016384057455707892
2019-08-31,0.021051005634367084,0.02340149976073799
2019-09-30,-0.014730807394081055,-0.007795832045646908
2019-10-31,0.007249734294318726,0.014246620818818164
2019-11-30,0.020055759882941646,0.013762037692101083
2019-12-31,0.020612771773340123,0.02234715683036434
2020-01-31,0.017613303499109216,0.00527671500257198
2020-02-29,-0.07283933060200323,-0.08539595759760475
2020-03-31,-0.15618082032080108,-0.1655501575411486
2020-04-30,0.15946734070456456,0.15074567513947673
2020-05-31,0.07926216001804547,0.06252285931812102
2020-06-30,0.015583434516403186,0.00845147540058146
2020-07-31,0.06695947927840662,0.06111288316748967
2020-08-31,0.040749240345553266,0.033357671103916076
2020-09-30,-0.023312506362230617,-0.02833488811003889
2020-10-31,-0.0032460116975846437,-0.005849635290116525
2020-11-30,0.12500118478240252,0.0880692993411181
2020-12-31,0.04382945090125684,0.028623825289090063
2021-01-31,0.013827689813194387,0.013971125157035722
2021-02-28,0.0424409658610182,0.028698156888007604
2021-03-31,0.00035101393342523105,0.01540832280023888
2021-04-30,0.04360850809211615,0.04870254596427781
2021-05-31,0.026185837938764035,0.02439103637972758
2021-06-30,0.031759446139889125,0.020967926486611745
2021-07-31,-0.026180850143940317,-0.022251071815794266
2021-08-31,0.03034731975097235,0.027319591212675035
2021-09-30,-0.0189362850999395,-0.012361903220887762
2021-10-31,0.06812631633432542,0.07043432352577472
2021-11-30,-0.04308700876292479,-0.04577347999126566
2021-12-31,0.011701241377877059,0.038427932185327654
2022-01-31,-0.04746018473954641,-0.043473422287280045
2022-02-28,0.007800411127357233,0.01286778055616903
2022-03-31,0.04314892404431847,0.053279601595578936
2022-04-30,-0.06309738273770732,-0.06598246937405883
2022-05-31,0.017909301656674266,0.011763716680257883
2022-06-30,-0.0887530946471971,-0.08603382801084652
2022-07-31,0.0787135895309646,0.07508612284535476
2022-08-31,0.0011855476386432376,-0.00640401038389114
2022-09-30,-0.08391993574649957,-0.08867888070807152
2022-10-31,0.11650715735077145,0.11678193663883099
2022-11-30,0.04361853961080976,0.030533104854855553
2022-12-31,-0.04100531607799143,-0.05217210174660454
2023-01-31,0.01957133385616932,0.03875666486333843
2023-02-28,-0.030279843131406498,-0.037013265868337974
2023-03-31,-0.017487229066116616,-0.005133680620802756
2023-04-30,-0.006844859743147899,-0.006853078307318256
2023-05-31,-0.016559823886351754,-0.02959718745427149
2023-06-30,0.07675231670042322,0.06790363334293867
2023-07-31,0.023078938912425767,0.030901740753896005
2023-08-31,-0.020388584661702243,-0.016439776188844128
2023-09-30,-0.0571503164174091,-0.039560658743814925
2023-10-31,-0.041668243101563376,-0.021535282077057603
2023-11-30,0.11608566462028092,0.08872087151421253
2023-12-31,0.0646828155676461,0.04692085418214222
2024-01-31,0.020146162394998297,0.021927386609484775
2024-02-29,0.0931102499468754,0.07757913014433523
2024-03-31,0.04022251208130051,0.046175603287408704
2024-04-30,-0.051884592587440465,-0.03763619949353747
2024-05-31,0.0462558947693035,0.050021786795070966
2024-06-30,0.010942918233287994,0.006135281100897972
2024-07-31,0.03142935727664838,0.04121501875233502
2024-08-31,0.04968584138900813,0.04413648849635861
2024-09-30,0.03724941740991518,0.036940541792969656
2024-10-31,-0.0011768500648017773,0.005888445946264797
2024-11-30,0.07286673269841054,0.07651191063310786
2024-12-31,-0.06006016389379616,-0.06030365149089863
