,Annualized Return,Annualized Volatility,Sharpe,Max Drawdown,Observations
Raw Composite,0.14159994264614828,0.1730042991320077,0.8184764387739467,-0.2176440445177653,83.0
Sector-Neutral Composite,0.12371927368205005,0.1635745244628883,0.756348056571116,-0.2368088009050927,83.0
