Date,Ticker,Sector,composite_50_50,raw_selected,raw_weight,sector_neutral_selected,sector_neutral_weight
2018-02-28,A,Healthcare,,False,0.0,False,0.0
2018-03-31,A,Healthcare,,False,0.0,False,0.0
2018-04-30,A,Healthcare,,False,0.0,False,0.0
2018-05-31,A,Healthcare,,False,0.0,False,0.0
2018-06-30,A,Healthcare,,False,0.0,False,0.0
2018-07-31,A,Healthcare,,False,0.0,False,0.0
2018-08-31,A,Healthcare,,False,0.0,False,0.0
2018-09-30,A,Healthcare,,False,0.0,False,0.0
2018-10-31,A,Healthcare,,False,0.0,False,0.0
2018-11-30,A,Healthcare,,False,0.0,False,0.0
2018-12-31,A,Healthcare,,False,0.0,False,0.0
2019-01-31,A,Healthcare,,False,0.0,False,0.0
2019-02-28,A,Healthcare,0.06540913937490796,False,0.0,False,0.0
2019-03-31,A,Healthcare,0.11651459512974753,False,0.0,False,0.0
2019-04-30,A,Healthcare,0.18170137361946262,False,0.0,False,0.0
2019-05-31,A,Healthcare,0.10904072599311065,False,0.0,False,0.0
2019-06-30,A,Healthcare,0.08391152044808242,False,0.0,False,0.0
2019-07-31,A,Healthcare,0.14847673972164194,False,0.0,False,0.0
2019-08-31,A,Healthcare,-0.04383420793708187,False,0.0,False,0.0
2019-09-30,A,Healthcare,0.03163529927176882,False,0.0,False,0.0
2019-10-31,A,Healthcare,0.06717945724836426,False,0.0,False,0.0
2019-11-30,A,Healthcare,0.03471866309769256,False,0.0,False,0.0
2019-12-31,A,Healthcare,-0.05687401139464788,False,0.0,False,0.0
2020-01-31,A,Healthcare,-0.057433999351732615,False,0.0,False,0.0
2020-02-29,A,Healthcare,-0.1395378648918695,False,0.0,False,0.0
2020-03-31,A,Healthcare,-0.10595118952579269,False,0.0,False,0.0
2020-04-30,A,Healthcare,0.06451077380009777,False,0.0,False,0.0
2020-05-31,A,Healthcare,0.058652312591581116,False,0.0,False,0.0
2020-06-30,A,Healthcare,0.280859917076693,True,0.010526315789473684,False,0.0
2020-07-31,A,Healthcare,0.18914153163077072,False,0.0,False,0.0
2020-08-31,A,Healthcare,0.30331183603856504,True,0.010526315789473684,False,0.0
2020-09-30,A,Healthcare,0.19420590199585386,True,0.010526315789473684,False,0.0
2020-10-31,A,Healthcare,0.1700642435830079,True,0.010526315789473684,False,0.0
2020-11-30,A,Healthcare,0.2303537889069422,True,0.010416666666666666,False,0.0
2020-12-31,A,Healthcare,0.17162188777815102,True,0.010416666666666666,True,0.007575757575757576
2021-01-31,A,Healthcare,0.08804158866899936,True,0.010416666666666666,False,0.0
2021-02-28,A,Healthcare,0.056558305509738345,True,0.010416666666666666,False,0.0
2021-03-31,A,Healthcare,-0.024378444362101973,False,0.0,True,0.007575757575757576
2021-04-30,A,Healthcare,-0.06428632626022397,False,0.0,False,0.0
2021-05-31,A,Healthcare,-0.04060899031924792,False,0.0,True,0.007575757575757576
