Date,Raw HHI,Sector-Neutral HHI
2019-02-28,0.14373019465821638,0.09090909090909091
2019-03-31,0.15029425079221367,0.09090909090909091
2019-04-30,0.15504753282028066,0.09090909090909091
2019-05-31,0.19216840199185148,0.09090909090909091
2019-06-30,0.11883205070167496,0.09090909090909091
2019-07-31,0.15006790402897235,0.09090909090909091
2019-08-31,0.14463558171118152,0.09090909090909091
2019-09-30,0.11679492983250338,0.09090909090909091
2019-10-31,0.12109551833408783,0.09090909090909091
2019-11-30,0.13019390581717452,0.09090909090909091
2019-12-31,0.16321329639889198,0.09090909090909091
2020-01-31,0.19113573407202217,0.09090909090909091
2020-02-29,0.18337950138504155,0.09090909090909091
2020-03-31,0.15191135734072023,0.09090909090909091
2020-04-30,0.17783933518005537,0.09090909090909091
2020-05-31,0.19977839335180056,0.09090909090909091
2020-06-30,0.2110803324099723,0.09090909090909091
2020-07-31,0.18448753462603878,0.09090909090909091
2020-08-31,0.1937950138504155,0.09090909090909091
2020-09-30,0.1847091412742382,0.09090909090909091
2020-10-31,0.17163434903047092,0.09090909090909091
2020-11-30,0.1781684027777778,0.09090909090909091
2020-12-31,0.21289062499999994,0.09090909090909091
2021-01-31,0.21267361111111108,0.09090909090909091
2021-02-28,0.20464409722222218,0.09090909090909091
2021-03-31,0.17881944444444445,0.09090909090909091
2021-04-30,0.1484375,0.09090909090909091
2021-05-31,0.16254340277777776,0.09090909090909091
2021-06-30,0.17165798611111108,0.09090909090909091
2021-07-31,0.16688368055555555,0.09090909090909091
2021-08-31,0.171875,0.09090909090909091
2021-09-30,0.16015624999999997,0.09090909090909091
2021-10-31,0.17187499999999997,0.09090909090909091
2021-11-30,0.16688368055555555,0.09090909090909091
2021-12-31,0.17643229166666663,0.09090909090909091
2022-01-31,0.14171006944444442,0.09090909090909091
2022-02-28,0.15230098841534703,0.09090909090909091
2022-03-31,0.12976936975236475,0.09090909090909091
2022-04-30,0.11510256137740461,0.09090909090909091
2022-05-31,0.10915081305133383,0.09090909090909091
2022-06-30,0.11932528113286128,0.09090909090909091
2022-07-31,0.1361932528113286,0.09090909090909091
2022-08-31,0.11807580174927113,0.09090909090909091
2022-09-30,0.12453144523115364,0.09090909090909091
2022-10-31,0.1272386505622657,0.09090909090909091
2022-11-30,0.12557267805081215,0.09090909090909091
2022-12-31,0.12432319866722197,0.09090909090909091
2023-01-31,0.13785922532278216,0.09090909090909091
2023-02-28,0.1322365680966264,0.09090909090909091
2023-03-31,0.1403581840899625,0.09090909090909091
2023-04-30,0.16284881299458553,0.09090909090909091
2023-05-31,0.1626405664306539,0.09090909090909091
2023-06-30,0.18658892128279883,0.09090909090909091
2023-07-31,0.21386922115785087,0.09090909090909091
2023-08-31,0.18159100374843815,0.09090909090909091
2023-09-30,0.19387755102040816,0.09090909090909091
2023-10-31,0.18783840066638896,0.09090909090909091
2023-11-30,0.17242815493544356,0.09090909090909091
2023-12-31,0.19283631820074965,0.09090909090909091
2024-01-31,0.20491461890878798,0.09090909090909091
2024-02-29,0.1853394418992086,0.09090909090909091
2024-03-31,0.18992086630570593,0.09090909090909091
2024-04-30,0.1495210329029571,0.09090909090909091
2024-05-31,0.16493127863390256,0.09090909090909091
2024-06-30,0.16805497709287795,0.09090909090909091
2024-07-31,0.16243231986672213,0.09090909090909091
2024-08-31,0.17825905872553105,0.09090909090909091
2024-09-30,0.1732611411911703,0.09090909090909091
2024-10-31,0.16576426488962928,0.09090909090909091
2024-11-30,0.1820074968763015,0.09090909090909091
2024-12-31,0.18971261974177422,0.09090909090909091
