Sector,Raw,Sector-Neutral
Technology,0.21569616953690626,0.09090909090909086
Industrials,0.1564996785134124,0.09090909090909086
Financial Services,0.140325292343968,0.09090909090909086
Healthcare,0.12919005386831411,0.09090909090909086
Consumer Cyclical,0.12131787490961483,0.09090909090909086
Consumer Defensive,0.048958546015463685,0.09090909090909086
Energy,0.04765132455973822,0.09090909090909086
Basic Materials,0.037550432367254256,0.09090909090909086
Utilities,0.035910507673954796,0.09090909090909086
Real Estate,0.03516875325351222,0.09090909090909086
Communication Services,0.03173136695786096,0.09090909090909086
