Date,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2019-02-28,0.031914893617021274,0.010638297872340425,0.10638297872340426,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.14893617021276595,0.06382978723404255,0.10638297872340426,0.2553191489361702,0.14893617021276595
2019-03-31,0.010638297872340425,0.010638297872340425,0.0851063829787234,0.0851063829787234,0.02127659574468085,0.07446808510638298,0.1276595744680851,0.06382978723404255,0.0851063829787234,0.2765957446808511,0.1595744680851064
2019-04-30,0.02127659574468085,0.010638297872340425,0.13829787234042554,0.07446808510638298,0.02127659574468085,0.06382978723404255,0.1595744680851064,0.0851063829787234,0.05319148936170213,0.28723404255319146,0.0851063829787234
2019-05-31,0.010638297872340425,0.0425531914893617,0.09574468085106383,0.07446808510638298,0.010638297872340425,0.0851063829787234,0.11702127659574468,0.14893617021276595,0.031914893617021274,0.36170212765957444,0.02127659574468085
2019-06-30,0.02127659574468085,0.05319148936170213,0.10638297872340426,0.09574468085106383,0.010638297872340425,0.10638297872340426,0.11702127659574468,0.1276595744680851,0.07446808510638298,0.20212765957446807,0.0851063829787234
2019-07-31,0.02127659574468085,0.0425531914893617,0.09574468085106383,0.06382978723404255,0.010638297872340425,0.1276595744680851,0.1595744680851064,0.13829787234042554,0.031914893617021274,0.26595744680851063,0.0425531914893617
2019-08-31,0.02127659574468085,0.031914893617021274,0.0851063829787234,0.07446808510638298,0.010638297872340425,0.14893617021276595,0.13829787234042554,0.0851063829787234,0.0425531914893617,0.26595744680851063,0.09574468085106383
2019-09-30,0.05319148936170213,0.02127659574468085,0.06382978723404255,0.1276595744680851,0.010638297872340425,0.11702127659574468,0.1276595744680851,0.06382978723404255,0.1276595744680851,0.1702127659574468,0.11702127659574468
2019-10-31,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.010638297872340425,0.0851063829787234,0.06382978723404255,0.07446808510638298,0.1276595744680851,0.19148936170212766,0.1595744680851064
2019-11-30,0.042105263157894736,0.031578947368421054,0.12631578947368421,0.05263157894736842,0.010526315789473684,0.11578947368421053,0.09473684210526316,0.17894736842105263,0.08421052631578947,0.21052631578947367,0.05263157894736842
2019-12-31,0.042105263157894736,0.031578947368421054,0.11578947368421053,0.05263157894736842,0.010526315789473684,0.12631578947368421,0.08421052631578947,0.17894736842105263,0.042105263157894736,0.29473684210526313,0.021052631578947368
2020-01-31,0.021052631578947368,0.031578947368421054,0.08421052631578947,0.05263157894736842,0.010526315789473684,0.12631578947368421,0.11578947368421053,0.18947368421052632,0.031578947368421054,0.3368421052631579,0.0
2020-02-29,0.021052631578947368,0.021052631578947368,0.09473684210526316,0.042105263157894736,0.010526315789473684,0.15789473684210525,0.11578947368421053,0.15789473684210525,0.010526315789473684,0.3263157894736842,0.042105263157894736
2020-03-31,0.010526315789473684,0.031578947368421054,0.09473684210526316,0.06315789473684211,0.0,0.1368421052631579,0.1368421052631579,0.1368421052631579,0.05263157894736842,0.2736842105263158,0.06315789473684211
2020-04-30,0.010526315789473684,0.031578947368421054,0.031578947368421054,0.08421052631578947,0.0,0.09473684210526316,0.25263157894736843,0.06315789473684211,0.06315789473684211,0.28421052631578947,0.08421052631578947
2020-05-31,0.021052631578947368,0.042105263157894736,0.042105263157894736,0.08421052631578947,0.0,0.06315789473684211,0.3263157894736842,0.06315789473684211,0.06315789473684211,0.2631578947368421,0.031578947368421054
2020-06-30,0.021052631578947368,0.031578947368421054,0.08421052631578947,0.05263157894736842,0.0,0.08421052631578947,0.2631578947368421,0.09473684210526316,0.031578947368421054,0.3368421052631579,0.0
2020-07-31,0.021052631578947368,0.06315789473684211,0.11578947368421053,0.05263157894736842,0.0,0.07368421052631578,0.22105263157894736,0.08421052631578947,0.05263157894736842,0.3157894736842105,0.0
2020-08-31,0.010526315789473684,0.06315789473684211,0.14736842105263157,0.031578947368421054,0.0,0.07368421052631578,0.2736842105263158,0.06315789473684211,0.042105263157894736,0.28421052631578947,0.010526315789473684
2020-09-30,0.021052631578947368,0.05263157894736842,0.15789473684210525,0.031578947368421054,0.0,0.07368421052631578,0.21052631578947367,0.15789473684210525,0.010526315789473684,0.28421052631578947,0.0
2020-10-31,0.031578947368421054,0.07368421052631578,0.15789473684210525,0.042105263157894736,0.0,0.06315789473684211,0.22105263157894736,0.12631578947368421,0.021052631578947368,0.2631578947368421,0.0
2020-11-30,0.041666666666666664,0.0625,0.15625,0.05208333333333333,0.0,0.05208333333333333,0.21875,0.125,0.010416666666666666,0.28125,0.0
2020-12-31,0.03125,0.07291666666666666,0.13541666666666666,0.041666666666666664,0.0,0.03125,0.17708333333333331,0.14583333333333331,0.0,0.3645833333333333,0.0
2021-01-31,0.020833333333333332,0.05208333333333333,0.13541666666666666,0.041666666666666664,0.0,0.0625,0.17708333333333331,0.14583333333333331,0.0,0.3645833333333333,0.0
2021-02-28,0.041666666666666664,0.05208333333333333,0.14583333333333331,0.020833333333333332,0.0,0.05208333333333333,0.20833333333333331,0.14583333333333331,0.0,0.3333333333333333,0.0
2021-03-31,0.0625,0.07291666666666666,0.14583333333333331,0.010416666666666666,0.0,0.13541666666666666,0.10416666666666666,0.14583333333333331,0.0,0.3125,0.010416666666666666
2021-04-30,0.041666666666666664,0.0625,0.25,0.010416666666666666,0.07291666666666666,0.16666666666666666,0.08333333333333333,0.13541666666666666,0.020833333333333332,0.14583333333333331,0.010416666666666666
2021-05-31,0.05208333333333333,0.03125,0.20833333333333331,0.010416666666666666,0.020833333333333332,0.19791666666666666,0.05208333333333333,0.20833333333333331,0.041666666666666664,0.16666666666666666,0.010416666666666666
2021-06-30,0.05208333333333333,0.020833333333333332,0.19791666666666666,0.010416666666666666,0.041666666666666664,0.23958333333333331,0.020833333333333332,0.20833333333333331,0.041666666666666664,0.15625,0.010416666666666666
2021-07-31,0.041666666666666664,0.03125,0.1875,0.010416666666666666,0.03125,0.23958333333333331,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.19791666666666666,0.010416666666666666
2021-08-31,0.041666666666666664,0.03125,0.20833333333333331,0.010416666666666666,0.03125,0.23958333333333331,0.05208333333333333,0.19791666666666666,0.03125,0.15625,0.0
2021-09-30,0.041666666666666664,0.020833333333333332,0.125,0.010416666666666666,0.05208333333333333,0.2708333333333333,0.08333333333333333,0.14583333333333331,0.05208333333333333,0.1875,0.010416666666666666
2021-10-31,0.041666666666666664,0.041666666666666664,0.11458333333333333,0.010416666666666666,0.10416666666666666,0.32291666666666663,0.0625,0.11458333333333333,0.041666666666666664,0.14583333333333331,0.0
2021-11-30,0.041666666666666664,0.041666666666666664,0.09375,0.0,0.10416666666666666,0.3125,0.0625,0.10416666666666666,0.08333333333333333,0.15625,0.0
2021-12-31,0.05208333333333333,0.010416666666666666,0.08333333333333333,0.0,0.09375,0.29166666666666663,0.05208333333333333,0.13541666666666666,0.0625,0.21875,0.0
2022-01-31,0.05208333333333333,0.010416666666666666,0.11458333333333333,0.0,0.11458333333333333,0.17708333333333331,0.0625,0.13541666666666666,0.125,0.20833333333333331,0.0
2022-02-28,0.030927835051546393,0.010309278350515464,0.1134020618556701,0.020618556701030927,0.14432989690721648,0.26804123711340205,0.041237113402061855,0.1134020618556701,0.12371134020618557,0.12371134020618557,0.010309278350515464
2022-03-31,0.05154639175257732,0.0,0.041237113402061855,0.05154639175257732,0.13402061855670103,0.20618556701030927,0.1134020618556701,0.16494845360824742,0.07216494845360824,0.12371134020618557,0.041237113402061855
2022-04-30,0.061855670103092786,0.010309278350515464,0.061855670103092786,0.041237113402061855,0.15463917525773196,0.14432989690721648,0.12371134020618557,0.12371134020618557,0.08247422680412371,0.14432989690721648,0.05154639175257732
2022-05-31,0.061855670103092786,0.0,0.061855670103092786,0.1134020618556701,0.15463917525773196,0.12371134020618557,0.12371134020618557,0.1134020618556701,0.08247422680412371,0.10309278350515463,0.061855670103092786
2022-06-30,0.0510204081632653,0.0,0.0510204081632653,0.08163265306122448,0.16326530612244897,0.07142857142857142,0.1530612244897959,0.11224489795918366,0.04081632653061224,0.13265306122448978,0.14285714285714285
2022-07-31,0.0510204081632653,0.0,0.030612244897959183,0.12244897959183673,0.14285714285714285,0.1530612244897959,0.1530612244897959,0.12244897959183673,0.0,0.04081632653061224,0.18367346938775508
2022-08-31,0.0510204081632653,0.01020408163265306,0.0510204081632653,0.13265306122448978,0.16326530612244897,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.01020408163265306,0.09183673469387754,0.12244897959183673
2022-09-30,0.0510204081632653,0.0,0.0510204081632653,0.11224489795918366,0.16326530612244897,0.13265306122448978,0.13265306122448978,0.1530612244897959,0.01020408163265306,0.061224489795918366,0.13265306122448978
2022-10-31,0.0510204081632653,0.0,0.04081632653061224,0.11224489795918366,0.14285714285714285,0.1530612244897959,0.17346938775510204,0.13265306122448978,0.01020408163265306,0.061224489795918366,0.12244897959183673
2022-11-30,0.0510204081632653,0.01020408163265306,0.07142857142857142,0.12244897959183673,0.14285714285714285,0.1530612244897959,0.18367346938775508,0.13265306122448978,0.01020408163265306,0.061224489795918366,0.061224489795918366
2022-12-31,0.0510204081632653,0.02040816326530612,0.061224489795918366,0.1020408163265306,0.1530612244897959,0.1530612244897959,0.18367346938775508,0.13265306122448978,0.01020408163265306,0.061224489795918366,0.07142857142857142
2023-01-31,0.061224489795918366,0.01020408163265306,0.061224489795918366,0.08163265306122448,0.16326530612244897,0.16326530612244897,0.21428571428571427,0.13265306122448978,0.0,0.04081632653061224,0.07142857142857142
2023-02-28,0.07142857142857142,0.01020408163265306,0.1020408163265306,0.0510204081632653,0.14285714285714285,0.14285714285714285,0.18367346938775508,0.17346938775510204,0.0,0.09183673469387754,0.030612244897959183
